"Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
30,"No","Travel_Rarely",570,"Sales",5,3,"Marketing",456,4,"Female",30,2,2,"Sales Executive",3,"Divorced",6118,5431,1,"No",13,3,3,3,10,2,3,10,9,1,2
55,"No","Travel_Rarely",452,"Research & Development",1,3,"Medical",374,4,"Male",81,3,5,"Manager",1,"Single",19045,18938,0,"Yes",14,3,3,0,37,2,3,36,10,4,13
35,"No","Travel_Rarely",1349,"Research & Development",7,2,"Life Sciences",1601,3,"Male",63,2,1,"Laboratory Technician",4,"Married",2690,7713,1,"No",18,3,4,1,1,5,2,1,0,0,1
36,"No","Travel_Rarely",922,"Research & Development",3,2,"Life Sciences",155,1,"Female",39,3,1,"Laboratory Technician",4,"Divorced",2835,2561,5,"No",22,4,1,1,7,2,3,1,0,0,0
38,"No","Travel_Rarely",268,"Research & Development",2,5,"Medical",773,4,"Male",92,3,1,"Research Scientist",3,"Married",3057,20471,6,"Yes",13,3,2,1,6,0,1,1,0,0,1
31,"No","Travel_Rarely",218,"Sales",7,3,"Technical Degree",416,2,"Male",100,4,2,"Sales Executive",4,"Married",6929,12241,4,"No",11,3,2,1,10,3,2,8,7,7,7
43,"No","Travel_Frequently",957,"Research & Development",28,3,"Medical",171,2,"Female",72,4,1,"Research Scientist",3,"Single",4739,16090,4,"No",12,3,4,0,18,2,3,3,2,1,2
43,"No","Travel_Rarely",1273,"Research & Development",2,2,"Medical",46,4,"Female",72,4,1,"Research Scientist",3,"Divorced",2645,21923,1,"No",12,3,4,2,6,3,2,5,3,1,4
36,"No","Travel_Rarely",1299,"Research & Development",27,3,"Medical",13,3,"Male",94,3,2,"Healthcare Representative",3,"Married",5237,16577,6,"No",13,3,2,2,17,3,2,7,7,7,7
26,"No","Travel_Rarely",991,"Research & Development",6,3,"Life Sciences",686,3,"Female",71,3,1,"Laboratory Technician",4,"Married",2659,17759,1,"Yes",13,3,3,1,3,2,3,3,2,0,2
38,"No","Travel_Frequently",1394,"Research & Development",8,3,"Medical",1937,4,"Female",58,2,2,"Research Scientist",2,"Divorced",2133,18115,1,"Yes",16,3,3,1,20,3,3,20,11,0,7
36,"No","Travel_Rarely",329,"Sales",16,4,"Marketing",1436,3,"Female",98,2,2,"Sales Executive",1,"Married",5647,13494,4,"No",13,3,1,2,11,3,2,3,2,0,2
29,"No","Travel_Rarely",144,"Sales",10,1,"Marketing",463,4,"Female",39,2,2,"Sales Executive",2,"Divorced",8268,11866,1,"Yes",14,3,1,2,7,2,3,7,7,1,7
22,"No","Non-Travel",1123,"Research & Development",16,2,"Medical",22,4,"Male",96,4,1,"Laboratory Technician",4,"Divorced",2935,7324,1,"Yes",13,3,2,2,1,2,2,1,0,0,0
30,"No","Non-Travel",641,"Sales",25,2,"Technical Degree",475,4,"Female",85,3,2,"Sales Executive",3,"Married",4736,6069,7,"Yes",12,3,2,1,4,2,4,2,2,2,2
49,"No","Non-Travel",1002,"Research & Development",18,4,"Life Sciences",275,4,"Male",92,3,2,"Manufacturing Director",4,"Divorced",6804,23793,1,"Yes",15,3,1,2,7,0,3,7,7,1,7
35,"No","Travel_Frequently",482,"Research & Development",4,4,"Life Sciences",1350,3,"Male",87,3,2,"Research Scientist",3,"Single",4249,2690,1,"Yes",11,3,2,0,9,3,3,9,6,1,1
38,"No","Travel_Frequently",1444,"Human Resources",1,4,"Other",1972,4,"Male",88,3,1,"Human Resources",2,"Married",2991,5224,0,"Yes",11,3,2,1,7,2,3,6,2,1,2
34,"No","Travel_Rarely",507,"Sales",15,2,"Medical",1356,3,"Female",66,3,2,"Sales Executive",1,"Single",6125,23553,1,"No",12,3,4,0,10,6,4,10,8,9,6
26,"No","Travel_Frequently",575,"Research & Development",1,2,"Life Sciences",792,1,"Female",71,1,1,"Laboratory Technician",4,"Divorced",4364,5288,3,"No",14,3,1,1,5,2,3,2,2,2,0
49,"No","Travel_Rarely",1245,"Research & Development",18,4,"Life Sciences",638,4,"Male",58,2,5,"Research Director",3,"Divorced",19502,2125,1,"Yes",17,3,3,1,31,5,3,31,9,0,9
26,"No","Travel_Rarely",482,"Research & Development",1,2,"Life Sciences",1893,2,"Female",90,2,1,"Research Scientist",3,"Married",2933,14908,1,"Yes",13,3,3,1,1,3,2,1,0,1,0
